eval_run_id,analysis_run_id,original_run_id,algorithm,train_environment,eval_environment,seed,episode,episode_reward,episode_steps,done,timeout_by_python_limit,deterministic,eval_mode,most_common_action,action_counts,model_path,info,evaluated_at,success_flag,wall_hit_flag,timeout_flag
Random_Env1_Seed72,Random_Seed72,Random_Env1_Seed72,Random,None,Env1,72,1,-5.179,358,True,False,,random_policy,,,,,2026-05-15T11:39:59,0,1,0
Random_Env1_Seed72,Random_Seed72,Random_Env1_Seed72,Random,None,Env1,72,2,-5.1155,231,True,False,,random_policy,,,,,2026-05-15T11:39:59,0,1,0
Random_Env1_Seed72,Random_Seed72,Random_Env1_Seed72,Random,None,Env1,72,3,-5.2305,461,True,False,,random_policy,,,,,2026-05-15T11:39:59,0,1,0
Random_Env1_Seed72,Random_Seed72,Random_Env1_Seed72,Random,None,Env1,72,4,-5.0475,95,True,False,,random_policy,,,,,2026-05-15T11:39:59,0,1,0
Random_Env1_Seed72,Random_Seed72,Random_Env1_Seed72,Random,None,Env1,72,5,-5.1915,383,True,False,,random_policy,,,,,2026-05-15T11:39:59,0,1,0
Random_Env1_Seed72,Random_Seed72,Random_Env1_Seed72,Random,None,Env1,72,6,-5.1435,287,True,False,,random_policy,,,,,2026-05-15T11:39:59,0,1,0
Random_Env1_Seed72,Random_Seed72,Random_Env1_Seed72,Random,None,Env1,72,7,-5.438,876,True,False,,random_policy,,,,,2026-05-15T11:39:59,0,1,0
Random_Env1_Seed72,Random_Seed72,Random_Env1_Seed72,Random,None,Env1,72,8,-5.1095,219,True,False,,random_policy,,,,,2026-05-15T11:39:59,0,1,0
Random_Env1_Seed72,Random_Seed72,Random_Env1_Seed72,Random,None,Env1,72,9,-5.022,44,True,False,,random_policy,,,,,2026-05-15T11:39:59,0,1,0
Random_Env1_Seed72,Random_Seed72,Random_Env1_Seed72,Random,None,Env1,72,10,-5.0645,129,True,False,,random_policy,,,,,2026-05-15T11:39:59,0,1,0
Random_Env1_Seed72,Random_Seed72,Random_Env1_Seed72,Random,None,Env1,72,11,-5.1945,389,True,False,,random_policy,,,,,2026-05-15T11:39:59,0,1,0
Random_Env1_Seed72,Random_Seed72,Random_Env1_Seed72,Random,None,Env1,72,12,-5.02,40,True,False,,random_policy,,,,,2026-05-15T11:39:59,0,1,0
Random_Env1_Seed72,Random_Seed72,Random_Env1_Seed72,Random,None,Env1,72,13,-5.7945,1589,True,False,,random_policy,,,,,2026-05-15T11:39:59,0,1,0
Random_Env1_Seed72,Random_Seed72,Random_Env1_Seed72,Random,None,Env1,72,14,-5.2315,463,True,False,,random_policy,,,,,2026-05-15T11:39:59,0,1,0
Random_Env1_Seed72,Random_Seed72,Random_Env1_Seed72,Random,None,Env1,72,15,-6.1875,2375,True,False,,random_policy,,,,,2026-05-15T11:39:59,0,1,0
Random_Env1_Seed72,Random_Seed72,Random_Env1_Seed72,Random,None,Env1,72,16,-5.142,284,True,False,,random_policy,,,,,2026-05-15T11:39:59,0,1,0
Random_Env1_Seed72,Random_Seed72,Random_Env1_Seed72,Random,None,Env1,72,17,-5.07,140,True,False,,random_policy,,,,,2026-05-15T11:39:59,0,1,0
Random_Env1_Seed72,Random_Seed72,Random_Env1_Seed72,Random,None,Env1,72,18,-5.041,82,True,False,,random_policy,,,,,2026-05-15T11:39:59,0,1,0
Random_Env1_Seed72,Random_Seed72,Random_Env1_Seed72,Random,None,Env1,72,19,-5.049,98,True,False,,random_policy,,,,,2026-05-15T11:39:59,0,1,0
Random_Env1_Seed72,Random_Seed72,Random_Env1_Seed72,Random,None,Env1,72,20,-5.0135,27,True,False,,random_policy,,,,,2026-05-15T11:39:59,0,1,0
Random_Env1_Seed72,Random_Seed72,Random_Env1_Seed72,Random,None,Env1,72,21,-5.049,98,True,False,,random_policy,,,,,2026-05-15T11:39:59,0,1,0
Random_Env1_Seed72,Random_Seed72,Random_Env1_Seed72,Random,None,Env1,72,22,-5.6965,1393,True,False,,random_policy,,,,,2026-05-15T11:39:59,0,1,0
Random_Env1_Seed72,Random_Seed72,Random_Env1_Seed72,Random,None,Env1,72,23,-5.0115,23,True,False,,random_policy,,,,,2026-05-15T11:39:59,0,1,0
Random_Env1_Seed72,Random_Seed72,Random_Env1_Seed72,Random,None,Env1,72,24,-5.283,566,True,False,,random_policy,,,,,2026-05-15T11:39:59,0,1,0
Random_Env1_Seed72,Random_Seed72,Random_Env1_Seed72,Random,None,Env1,72,25,-5.149,298,True,False,,random_policy,,,,,2026-05-15T11:39:59,0,1,0
Random_Env1_Seed72,Random_Seed72,Random_Env1_Seed72,Random,None,Env1,72,26,-5.031,62,True,False,,random_policy,,,,,2026-05-15T11:39:59,0,1,0
Random_Env1_Seed72,Random_Seed72,Random_Env1_Seed72,Random,None,Env1,72,27,-5.398,796,True,False,,random_policy,,,,,2026-05-15T11:39:59,0,1,0
