eval_run_id,analysis_run_id,original_run_id,algorithm,train_environment,eval_environment,seed,episode,episode_reward,episode_steps,done,timeout_by_python_limit,deterministic,eval_mode,most_common_action,action_counts,model_path,info,evaluated_at,success_flag,wall_hit_flag,timeout_flag
Random_Env3_Seed42,Random_Seed42,Random_Env3_Seed42,Random,None,Env3,42,1,-5.036,72,True,False,,random_policy,,,,,2026-05-15T11:39:59,0,1,0
Random_Env3_Seed42,Random_Seed42,Random_Env3_Seed42,Random,None,Env3,42,2,-5.006,12,True,False,,random_policy,,,,,2026-05-15T11:39:59,0,1,0
Random_Env3_Seed42,Random_Seed42,Random_Env3_Seed42,Random,None,Env3,42,3,-5.0045,9,True,False,,random_policy,,,,,2026-05-15T11:39:59,0,1,0
Random_Env3_Seed42,Random_Seed42,Random_Env3_Seed42,Random,None,Env3,42,4,-5.004,8,True,False,,random_policy,,,,,2026-05-15T11:39:59,0,1,0
Random_Env3_Seed42,Random_Seed42,Random_Env3_Seed42,Random,None,Env3,42,5,-5.0385,77,True,False,,random_policy,,,,,2026-05-15T11:39:59,0,1,0
Random_Env3_Seed42,Random_Seed42,Random_Env3_Seed42,Random,None,Env3,42,6,-5.1255,251,True,False,,random_policy,,,,,2026-05-15T11:39:59,0,1,0
Random_Env3_Seed42,Random_Seed42,Random_Env3_Seed42,Random,None,Env3,42,7,-5.0185,37,True,False,,random_policy,,,,,2026-05-15T11:39:59,0,1,0
Random_Env3_Seed42,Random_Seed42,Random_Env3_Seed42,Random,None,Env3,42,8,-5.0145,29,True,False,,random_policy,,,,,2026-05-15T11:39:59,0,1,0
Random_Env3_Seed42,Random_Seed42,Random_Env3_Seed42,Random,None,Env3,42,9,-5.02,40,True,False,,random_policy,,,,,2026-05-15T11:39:59,0,1,0
Random_Env3_Seed42,Random_Seed42,Random_Env3_Seed42,Random,None,Env3,42,10,-5.0045,9,True,False,,random_policy,,,,,2026-05-15T11:39:59,0,1,0
Random_Env3_Seed42,Random_Seed42,Random_Env3_Seed42,Random,None,Env3,42,11,-5.0695,139,True,False,,random_policy,,,,,2026-05-15T11:39:59,0,1,0
Random_Env3_Seed42,Random_Seed42,Random_Env3_Seed42,Random,None,Env3,42,12,-5.022,44,True,False,,random_policy,,,,,2026-05-15T11:39:59,0,1,0
Random_Env3_Seed42,Random_Seed42,Random_Env3_Seed42,Random,None,Env3,42,13,-5.02,40,True,False,,random_policy,,,,,2026-05-15T11:39:59,0,1,0
Random_Env3_Seed42,Random_Seed42,Random_Env3_Seed42,Random,None,Env3,42,14,-5.1515,303,True,False,,random_policy,,,,,2026-05-15T11:39:59,0,1,0
Random_Env3_Seed42,Random_Seed42,Random_Env3_Seed42,Random,None,Env3,42,15,-5.016,32,True,False,,random_policy,,,,,2026-05-15T11:39:59,0,1,0
Random_Env3_Seed42,Random_Seed42,Random_Env3_Seed42,Random,None,Env3,42,16,-5.2475,495,True,False,,random_policy,,,,,2026-05-15T11:39:59,0,1,0
Random_Env3_Seed42,Random_Seed42,Random_Env3_Seed42,Random,None,Env3,42,17,-5.01,20,True,False,,random_policy,,,,,2026-05-15T11:39:59,0,1,0
Random_Env3_Seed42,Random_Seed42,Random_Env3_Seed42,Random,None,Env3,42,18,-5.0425,85,True,False,,random_policy,,,,,2026-05-15T11:39:59,0,1,0
Random_Env3_Seed42,Random_Seed42,Random_Env3_Seed42,Random,None,Env3,42,19,-5.0335,67,True,False,,random_policy,,,,,2026-05-15T11:39:59,0,1,0
Random_Env3_Seed42,Random_Seed42,Random_Env3_Seed42,Random,None,Env3,42,20,-5.0445,89,True,False,,random_policy,,,,,2026-05-15T11:39:59,0,1,0
Random_Env3_Seed42,Random_Seed42,Random_Env3_Seed42,Random,None,Env3,42,21,-5.0135,27,True,False,,random_policy,,,,,2026-05-15T11:39:59,0,1,0
Random_Env3_Seed42,Random_Seed42,Random_Env3_Seed42,Random,None,Env3,42,22,-5.072,144,True,False,,random_policy,,,,,2026-05-15T11:39:59,0,1,0
Random_Env3_Seed42,Random_Seed42,Random_Env3_Seed42,Random,None,Env3,42,23,-5.349,698,True,False,,random_policy,,,,,2026-05-15T11:39:59,0,1,0
Random_Env3_Seed42,Random_Seed42,Random_Env3_Seed42,Random,None,Env3,42,24,-5.0245,49,True,False,,random_policy,,,,,2026-05-15T11:39:59,0,1,0
Random_Env3_Seed42,Random_Seed42,Random_Env3_Seed42,Random,None,Env3,42,25,-5.065,130,True,False,,random_policy,,,,,2026-05-15T11:39:59,0,1,0
Random_Env3_Seed42,Random_Seed42,Random_Env3_Seed42,Random,None,Env3,42,26,-5.1075,215,True,False,,random_policy,,,,,2026-05-15T11:39:59,0,1,0
