run_id,environment,algorithm,seed,episode,result,steps,total_reward,spawn_index,goal_index,max_steps,success,wall_hit,timeout,total_logged_steps
Random_Env2_Seed27,Env2_Complex,Random,27,1,Wall,51,-0.5510,1,0,5000,0,1,0,51
Random_Env2_Seed27,Env2_Complex,Random,27,2,Wall,19,-0.5190,0,1,5000,0,1,0,70
Random_Env2_Seed27,Env2_Complex,Random,27,3,Wall,34,-0.5340,7,2,5000,0,1,0,104
Random_Env2_Seed27,Env2_Complex,Random,27,4,Wall,37,-0.5370,5,1,5000,0,1,0,141
Random_Env2_Seed27,Env2_Complex,Random,27,5,Wall,9,-0.5090,1,6,5000,0,1,0,150
Random_Env2_Seed27,Env2_Complex,Random,27,6,Wall,34,-0.5340,3,3,5000,0,1,0,184
Random_Env2_Seed27,Env2_Complex,Random,27,7,Wall,30,-0.5300,4,0,5000,0,1,0,214
Random_Env2_Seed27,Env2_Complex,Random,27,8,Wall,107,-0.6070,5,3,5000,0,1,0,321
Random_Env2_Seed27,Env2_Complex,Random,27,9,Wall,20,-0.5200,1,0,5000,0,1,0,341
Random_Env2_Seed27,Env2_Complex,Random,27,10,Wall,7,-0.5070,4,2,5000,0,1,0,348
Random_Env2_Seed27,Env2_Complex,Random,27,11,Wall,127,-0.6270,6,6,5000,0,1,0,475
Random_Env2_Seed27,Env2_Complex,Random,27,12,Wall,147,-0.6470,5,4,5000,0,1,0,622
Random_Env2_Seed27,Env2_Complex,Random,27,13,Wall,78,-0.5780,4,6,5000,0,1,0,700
Random_Env2_Seed27,Env2_Complex,Random,27,14,Wall,163,-0.6630,6,7,5000,0,1,0,863
Random_Env2_Seed27,Env2_Complex,Random,27,15,Wall,68,-0.5680,2,3,5000,0,1,0,931
Random_Env2_Seed27,Env2_Complex,Random,27,16,Wall,361,-0.8610,1,4,5000,0,1,0,1292
Random_Env2_Seed27,Env2_Complex,Random,27,17,Wall,42,-0.5420,4,3,5000,0,1,0,1334
Random_Env2_Seed27,Env2_Complex,Random,27,18,Wall,211,-0.7110,3,7,5000,0,1,0,1545
Random_Env2_Seed27,Env2_Complex,Random,27,19,Wall,179,-0.6790,2,3,5000,0,1,0,1724
Random_Env2_Seed27,Env2_Complex,Random,27,20,Wall,55,-0.5550,6,7,5000,0,1,0,1779
Random_Env2_Seed27,Env2_Complex,Random,27,21,Wall,126,-0.6260,3,6,5000,0,1,0,1905
Random_Env2_Seed27,Env2_Complex,Random,27,22,Wall,88,-0.5880,7,5,5000,0,1,0,1993
Random_Env2_Seed27,Env2_Complex,Random,27,23,Wall,115,-0.6150,4,6,5000,0,1,0,2108
Random_Env2_Seed27,Env2_Complex,Random,27,24,Wall,123,-0.6230,6,3,5000,0,1,0,2231
Random_Env2_Seed27,Env2_Complex,Random,27,25,Wall,69,-0.5690,4,6,5000,0,1,0,2300
Random_Env2_Seed27,Env2_Complex,Random,27,26,Wall,93,-0.5930,7,1,5000,0,1,0,2393
Random_Env2_Seed27,Env2_Complex,Random,27,27,Wall,30,-0.5300,0,7,5000,0,1,0,2423
Random_Env2_Seed27,Env2_Complex,Random,27,28,Wall,30,-0.5300,1,4,5000,0,1,0,2453
Random_Env2_Seed27,Env2_Complex,Random,27,29,Wall,13,-0.5130,0,1,5000,0,1,0,2466
Random_Env2_Seed27,Env2_Complex,Random,27,30,Wall,76,-0.5760,4,5,5000,0,1,0,2542
Random_Env2_Seed27,Env2_Complex,Random,27,31,Wall,20,-0.5200,6,6,5000,0,1,0,2562
Random_Env2_Seed27,Env2_Complex,Random,27,32,Wall,33,-0.5330,1,5,5000,0,1,0,2595
Random_Env2_Seed27,Env2_Complex,Random,27,33,Wall,99,-0.5990,0,2,5000,0,1,0,2694
Random_Env2_Seed27,Env2_Complex,Random,27,34,Wall,49,-0.5490,6,7,5000,0,1,0,2743
Random_Env2_Seed27,Env2_Complex,Random,27,35,Wall,48,-0.5480,2,1,5000,0,1,0,2791
Random_Env2_Seed27,Env2_Complex,Random,27,36,Wall,123,-0.6230,5,7,5000,0,1,0,2914
Random_Env2_Seed27,Env2_Complex,Random,27,37,Wall,26,-0.5260,2,6,5000,0,1,0,2940
Random_Env2_Seed27,Env2_Complex,Random,27,38,Wall,50,-0.5500,0,7,5000,0,1,0,2990
Random_Env2_Seed27,Env2_Complex,Random,27,39,Wall,102,-0.6020,7,6,5000,0,1,0,3092
Random_Env2_Seed27,Env2_Complex,Random,27,40,Wall,262,-0.7620,1,2,5000,0,1,0,3354
Random_Env2_Seed27,Env2_Complex,Random,27,41,Wall,7,-0.5070,4,7,5000,0,1,0,3361
Random_Env2_Seed27,Env2_Complex,Random,27,42,Wall,28,-0.5280,0,1,5000,0,1,0,3389
Random_Env2_Seed27,Env2_Complex,Random,27,43,Wall,72,-0.5720,7,0,5000,0,1,0,3461
Random_Env2_Seed27,Env2_Complex,Random,27,44,Wall,12,-0.5120,1,3,5000,0,1,0,3473
Random_Env2_Seed27,Env2_Complex,Random,27,45,Wall,547,-1.0470,3,2,5000,0,1,0,4020
Random_Env2_Seed27,Env2_Complex,Random,27,46,Wall,62,-0.5620,7,7,5000,0,1,0,4082
Random_Env2_Seed27,Env2_Complex,Random,27,47,Wall,345,-0.8450,0,0,5000,0,1,0,4427
Random_Env2_Seed27,Env2_Complex,Random,27,48,Wall,28,-0.5280,4,1,5000,0,1,0,4455
Random_Env2_Seed27,Env2_Complex,Random,27,49,Wall,237,-0.7370,3,0,5000,0,1,0,4692
Random_Env2_Seed27,Env2_Complex,Random,27,50,Wall,23,-0.5230,0,5,5000,0,1,0,4715
Random_Env2_Seed27,Env2_Complex,Random,27,51,Wall,107,-0.6070,2,0,5000,0,1,0,4822
Random_Env2_Seed27,Env2_Complex,Random,27,52,Wall,70,-0.5700,7,3,5000,0,1,0,4892
Random_Env2_Seed27,Env2_Complex,Random,27,53,Wall,43,-0.5430,2,5,5000,0,1,0,4935
Random_Env2_Seed27,Env2_Complex,Random,27,54,Wall,42,-0.5420,4,3,5000,0,1,0,4977
Random_Env2_Seed27,Env2_Complex,Random,27,55,Wall,28,-0.5280,7,2,5000,0,1,0,5005
Random_Env2_Seed27,Env2_Complex,Random,27,56,Wall,39,-0.5390,0,3,5000,0,1,0,5044
Random_Env2_Seed27,Env2_Complex,Random,27,57,Wall,16,-0.5160,4,5,5000,0,1,0,5060
Random_Env2_Seed27,Env2_Complex,Random,27,58,Wall,44,-0.5440,6,0,5000,0,1,0,5104
Random_Env2_Seed27,Env2_Complex,Random,27,59,Wall,317,-0.8170,3,3,5000,0,1,0,5421
Random_Env2_Seed27,Env2_Complex,Random,27,60,Wall,27,-0.5270,7,7,5000,0,1,0,5448
Random_Env2_Seed27,Env2_Complex,Random,27,61,Wall,135,-0.6350,6,4,5000,0,1,0,5583
Random_Env2_Seed27,Env2_Complex,Random,27,62,Wall,23,-0.5230,1,3,5000,0,1,0,5606
Random_Env2_Seed27,Env2_Complex,Random,27,63,Wall,10,-0.5100,5,0,5000,0,1,0,5616
Random_Env2_Seed27,Env2_Complex,Random,27,64,Wall,95,-0.5950,1,7,5000,0,1,0,5711
Random_Env2_Seed27,Env2_Complex,Random,27,65,Wall,161,-0.6610,3,3,5000,0,1,0,5872
Random_Env2_Seed27,Env2_Complex,Random,27,66,Wall,30,-0.5300,7,0,5000,0,1,0,5902
Random_Env2_Seed27,Env2_Complex,Random,27,67,Wall,148,-0.6480,2,5,5000,0,1,0,6050
Random_Env2_Seed27,Env2_Complex,Random,27,68,Wall,381,-0.8810,3,1,5000,0,1,0,6431
Random_Env2_Seed27,Env2_Complex,Random,27,69,Wall,25,-0.5250,0,5,5000,0,1,0,6456
Random_Env2_Seed27,Env2_Complex,Random,27,70,Wall,8,-0.5080,6,0,5000,0,1,0,6464
Random_Env2_Seed27,Env2_Complex,Random,27,71,Wall,216,-0.7160,7,6,5000,0,1,0,6680
Random_Env2_Seed27,Env2_Complex,Random,27,72,Wall,480,-0.9800,0,3,5000,0,1,0,7160
Random_Env2_Seed27,Env2_Complex,Random,27,73,Wall,445,-0.9450,3,1,5000,0,1,0,7605
Random_Env2_Seed27,Env2_Complex,Random,27,74,Wall,220,-0.7200,1,4,5000,0,1,0,7825
Random_Env2_Seed27,Env2_Complex,Random,27,75,Wall,35,-0.5350,4,5,5000,0,1,0,7860
Random_Env2_Seed27,Env2_Complex,Random,27,76,Wall,22,-0.5220,1,0,5000,0,1,0,7882
Random_Env2_Seed27,Env2_Complex,Random,27,77,Wall,23,-0.5230,6,6,5000,0,1,0,7905
Random_Env2_Seed27,Env2_Complex,Random,27,78,Wall,515,-1.0150,5,7,5000,0,1,0,8420
Random_Env2_Seed27,Env2_Complex,Random,27,79,Wall,49,-0.5490,4,6,5000,0,1,0,8469
Random_Env2_Seed27,Env2_Complex,Random,27,80,Wall,43,-0.5430,2,2,5000,0,1,0,8512
Random_Env2_Seed27,Env2_Complex,Random,27,81,Wall,130,-0.6300,0,7,5000,0,1,0,8642
Random_Env2_Seed27,Env2_Complex,Random,27,82,Wall,170,-0.6700,3,0,5000,0,1,0,8812
Random_Env2_Seed27,Env2_Complex,Random,27,83,Wall,82,-0.5820,0,2,5000,0,1,0,8894
Random_Env2_Seed27,Env2_Complex,Random,27,84,Wall,42,-0.5420,1,3,5000,0,1,0,8936
Random_Env2_Seed27,Env2_Complex,Random,27,85,Wall,105,-0.6050,3,2,5000,0,1,0,9041
Random_Env2_Seed27,Env2_Complex,Random,27,86,Wall,97,-0.5970,4,7,5000,0,1,0,9138
Random_Env2_Seed27,Env2_Complex,Random,27,87,Wall,324,-0.8240,5,5,5000,0,1,0,9462
Random_Env2_Seed27,Env2_Complex,Random,27,88,Wall,147,-0.6470,3,4,5000,0,1,0,9609
Random_Env2_Seed27,Env2_Complex,Random,27,89,Wall,189,-0.6890,0,1,5000,0,1,0,9798
Random_Env2_Seed27,Env2_Complex,Random,27,90,Wall,14,-0.5140,2,7,5000,0,1,0,9812
Random_Env2_Seed27,Env2_Complex,Random,27,91,Wall,23,-0.5230,6,0,5000,0,1,0,9835
Random_Env2_Seed27,Env2_Complex,Random,27,92,Wall,18,-0.5180,2,4,5000,0,1,0,9853
Random_Env2_Seed27,Env2_Complex,Random,27,93,Wall,16,-0.5160,4,7,5000,0,1,0,9869
Random_Env2_Seed27,Env2_Complex,Random,27,94,Wall,576,-1.0760,5,5,5000,0,1,0,10445
Random_Env2_Seed27,Env2_Complex,Random,27,95,Wall,179,-0.6790,3,6,5000,0,1,0,10624
Random_Env2_Seed27,Env2_Complex,Random,27,96,Wall,66,-0.5660,2,4,5000,0,1,0,10690
Random_Env2_Seed27,Env2_Complex,Random,27,97,Wall,56,-0.5560,6,2,5000,0,1,0,10746
Random_Env2_Seed27,Env2_Complex,Random,27,98,Wall,175,-0.6750,5,6,5000,0,1,0,10921
Random_Env2_Seed27,Env2_Complex,Random,27,99,Wall,5,-0.5050,4,7,5000,0,1,0,10926
