run_id,environment,algorithm,seed,episode,result,steps,total_reward,spawn_index,goal_index,max_steps,success,wall_hit,timeout,total_logged_steps
Random_Env3_Seed72,Env3_Warehouse,Random,72,1,Wall,9,-0.5090,0,2,5000,0,1,0,9
Random_Env3_Seed72,Env3_Warehouse,Random,72,2,Wall,140,-0.6400,3,4,5000,0,1,0,149
Random_Env3_Seed72,Env3_Warehouse,Random,72,3,Wall,178,-0.6780,7,5,5000,0,1,0,327
Random_Env3_Seed72,Env3_Warehouse,Random,72,4,Wall,114,-0.6140,5,1,5000,0,1,0,441
Random_Env3_Seed72,Env3_Warehouse,Random,72,5,Wall,65,-0.5650,4,3,5000,0,1,0,506
Random_Env3_Seed72,Env3_Warehouse,Random,72,6,Wall,76,-0.5760,6,2,5000,0,1,0,582
Random_Env3_Seed72,Env3_Warehouse,Random,72,7,Wall,41,-0.5410,4,6,5000,0,1,0,623
Random_Env3_Seed72,Env3_Warehouse,Random,72,8,Wall,155,-0.6550,1,0,5000,0,1,0,778
Random_Env3_Seed72,Env3_Warehouse,Random,72,9,Wall,70,-0.5700,2,5,5000,0,1,0,848
Random_Env3_Seed72,Env3_Warehouse,Random,72,10,Wall,5,-0.5050,5,4,5000,0,1,0,853
Random_Env3_Seed72,Env3_Warehouse,Random,72,11,Wall,6,-0.5060,0,3,5000,0,1,0,859
Random_Env3_Seed72,Env3_Warehouse,Random,72,12,Wall,23,-0.5230,7,1,5000,0,1,0,882
Random_Env3_Seed72,Env3_Warehouse,Random,72,13,Wall,85,-0.5850,0,0,5000,0,1,0,967
Random_Env3_Seed72,Env3_Warehouse,Random,72,14,Wall,48,-0.5480,4,6,5000,0,1,0,1015
Random_Env3_Seed72,Env3_Warehouse,Random,72,15,Wall,11,-0.5110,2,5,5000,0,1,0,1026
Random_Env3_Seed72,Env3_Warehouse,Random,72,16,Wall,22,-0.5220,6,6,5000,0,1,0,1048
Random_Env3_Seed72,Env3_Warehouse,Random,72,17,Wall,124,-0.6240,5,1,5000,0,1,0,1172
Random_Env3_Seed72,Env3_Warehouse,Random,72,18,Wall,87,-0.5870,1,6,5000,0,1,0,1259
Random_Env3_Seed72,Env3_Warehouse,Random,72,19,Wall,76,-0.5760,0,2,5000,0,1,0,1335
Random_Env3_Seed72,Env3_Warehouse,Random,72,20,Wall,147,-0.6470,7,0,5000,0,1,0,1482
Random_Env3_Seed72,Env3_Warehouse,Random,72,21,Wall,292,-0.7920,1,6,5000,0,1,0,1774
Random_Env3_Seed72,Env3_Warehouse,Random,72,22,Wall,30,-0.5300,4,3,5000,0,1,0,1804
Random_Env3_Seed72,Env3_Warehouse,Random,72,23,Wall,177,-0.6770,2,4,5000,0,1,0,1981
Random_Env3_Seed72,Env3_Warehouse,Random,72,24,Wall,484,-0.9840,7,6,5000,0,1,0,2465
Random_Env3_Seed72,Env3_Warehouse,Random,72,25,Wall,11,-0.5110,4,5,5000,0,1,0,2476
Random_Env3_Seed72,Env3_Warehouse,Random,72,26,Wall,62,-0.5620,0,6,5000,0,1,0,2538
Random_Env3_Seed72,Env3_Warehouse,Random,72,27,Wall,5,-0.5050,6,3,5000,0,1,0,2543
Random_Env3_Seed72,Env3_Warehouse,Random,72,28,Wall,103,-0.6030,1,1,5000,0,1,0,2646
