run_id,environment,algorithm,seed,episode,result,steps,total_reward,spawn_index,goal_index,max_steps,success,wall_hit,timeout,total_logged_steps
Random_Env3_Seed42,Env3_Warehouse,Random,42,1,Wall,72,-0.5720,3,2,5000,0,1,0,72
Random_Env3_Seed42,Env3_Warehouse,Random,42,2,Wall,12,-0.5120,0,5,5000,0,1,0,84
Random_Env3_Seed42,Env3_Warehouse,Random,42,3,Wall,9,-0.5090,5,0,5000,0,1,0,93
Random_Env3_Seed42,Env3_Warehouse,Random,42,4,Wall,8,-0.5080,0,2,5000,0,1,0,101
Random_Env3_Seed42,Env3_Warehouse,Random,42,5,Wall,77,-0.5770,2,6,5000,0,1,0,178
Random_Env3_Seed42,Env3_Warehouse,Random,42,6,Wall,251,-0.7510,7,1,5000,0,1,0,429
Random_Env3_Seed42,Env3_Warehouse,Random,42,7,Wall,37,-0.5370,6,7,5000,0,1,0,466
Random_Env3_Seed42,Env3_Warehouse,Random,42,8,Wall,29,-0.5290,3,6,5000,0,1,0,495
Random_Env3_Seed42,Env3_Warehouse,Random,42,9,Wall,40,-0.5400,4,2,5000,0,1,0,535
Random_Env3_Seed42,Env3_Warehouse,Random,42,10,Wall,9,-0.5090,5,1,5000,0,1,0,544
Random_Env3_Seed42,Env3_Warehouse,Random,42,11,Wall,139,-0.6390,1,5,5000,0,1,0,683
Random_Env3_Seed42,Env3_Warehouse,Random,42,12,Wall,44,-0.5440,7,4,5000,0,1,0,727
Random_Env3_Seed42,Env3_Warehouse,Random,42,13,Wall,40,-0.5400,4,2,5000,0,1,0,767
Random_Env3_Seed42,Env3_Warehouse,Random,42,14,Wall,303,-0.8030,1,3,5000,0,1,0,1070
Random_Env3_Seed42,Env3_Warehouse,Random,42,15,Wall,32,-0.5320,6,7,5000,0,1,0,1102
Random_Env3_Seed42,Env3_Warehouse,Random,42,16,Wall,495,-0.9950,7,4,5000,0,1,0,1597
Random_Env3_Seed42,Env3_Warehouse,Random,42,17,Wall,20,-0.5200,4,0,5000,0,1,0,1617
Random_Env3_Seed42,Env3_Warehouse,Random,42,18,Wall,85,-0.5850,7,7,5000,0,1,0,1702
Random_Env3_Seed42,Env3_Warehouse,Random,42,19,Wall,67,-0.5670,5,3,5000,0,1,0,1769
Random_Env3_Seed42,Env3_Warehouse,Random,42,20,Wall,89,-0.5890,3,5,5000,0,1,0,1858
Random_Env3_Seed42,Env3_Warehouse,Random,42,21,Wall,27,-0.5270,2,0,5000,0,1,0,1885
Random_Env3_Seed42,Env3_Warehouse,Random,42,22,Wall,144,-0.6440,6,3,5000,0,1,0,2029
Random_Env3_Seed42,Env3_Warehouse,Random,42,23,Wall,698,-1.1980,3,5,5000,0,1,0,2727
Random_Env3_Seed42,Env3_Warehouse,Random,42,24,Wall,49,-0.5490,6,4,5000,0,1,0,2776
Random_Env3_Seed42,Env3_Warehouse,Random,42,25,Wall,130,-0.6300,4,1,5000,0,1,0,2906
Random_Env3_Seed42,Env3_Warehouse,Random,42,26,Wall,215,-0.7150,3,5,5000,0,1,0,3121
Random_Env3_Seed42,Env3_Warehouse,Random,42,27,Wall,106,-0.6060,4,7,5000,0,1,0,3227
Random_Env3_Seed42,Env3_Warehouse,Random,42,28,Wall,8,-0.5080,2,4,5000,0,1,0,3235
Random_Env3_Seed42,Env3_Warehouse,Random,42,29,Wall,69,-0.5690,4,0,5000,0,1,0,3304
Random_Env3_Seed42,Env3_Warehouse,Random,42,30,Wall,50,-0.5500,3,4,5000,0,1,0,3354
Random_Env3_Seed42,Env3_Warehouse,Random,42,31,Wall,180,-0.6800,7,2,5000,0,1,0,3534
Random_Env3_Seed42,Env3_Warehouse,Random,42,32,Wall,192,-0.6920,3,3,5000,0,1,0,3726
Random_Env3_Seed42,Env3_Warehouse,Random,42,33,Wall,102,-0.6020,7,1,5000,0,1,0,3828
Random_Env3_Seed42,Env3_Warehouse,Random,42,34,Wall,4,-0.5040,0,2,5000,0,1,0,3832
Random_Env3_Seed42,Env3_Warehouse,Random,42,35,Wall,15,-0.5150,2,3,5000,0,1,0,3847
Random_Env3_Seed42,Env3_Warehouse,Random,42,36,Wall,615,-1.1150,6,1,5000,0,1,0,4462
Random_Env3_Seed42,Env3_Warehouse,Random,42,37,Wall,50,-0.5500,3,7,5000,0,1,0,4512
Random_Env3_Seed42,Env3_Warehouse,Random,42,38,Wall,400,-0.9000,6,3,5000,0,1,0,4912
Random_Env3_Seed42,Env3_Warehouse,Random,42,39,Wall,189,-0.6890,7,4,5000,0,1,0,5101
Random_Env3_Seed42,Env3_Warehouse,Random,42,40,Wall,10,-0.5100,4,5,5000,0,1,0,5111
Random_Env3_Seed42,Env3_Warehouse,Random,42,41,Wall,456,-0.9560,1,6,5000,0,1,0,5567
Random_Env3_Seed42,Env3_Warehouse,Random,42,42,Wall,114,-0.6140,7,1,5000,0,1,0,5681
Random_Env3_Seed42,Env3_Warehouse,Random,42,43,Wall,19,-0.5190,5,5,5000,0,1,0,5700
Random_Env3_Seed42,Env3_Warehouse,Random,42,44,Wall,304,-0.8040,3,2,5000,0,1,0,6004
Random_Env3_Seed42,Env3_Warehouse,Random,42,45,Wall,47,-0.5470,2,4,5000,0,1,0,6051
Random_Env3_Seed42,Env3_Warehouse,Random,42,46,Wall,157,-0.6570,4,7,5000,0,1,0,6208
Random_Env3_Seed42,Env3_Warehouse,Random,42,47,Wall,270,-0.7700,1,1,5000,0,1,0,6478
Random_Env3_Seed42,Env3_Warehouse,Random,42,48,Wall,22,-0.5220,4,2,5000,0,1,0,6500
Random_Env3_Seed42,Env3_Warehouse,Random,42,49,Wall,93,-0.5930,0,4,5000,0,1,0,6593
Random_Env3_Seed42,Env3_Warehouse,Random,42,50,Wall,66,-0.5660,3,5,5000,0,1,0,6659
