run_id,environment,algorithm,seed,episode,result,steps,total_reward,spawn_index,goal_index,max_steps,success,wall_hit,timeout,total_logged_steps
Random_Env2_Seed1,Env2_Complex,Random,1,1,Wall,16,-0.5160,2,2,5000,0,1,0,16
Random_Env2_Seed1,Env2_Complex,Random,1,2,Wall,151,-0.6510,5,3,5000,0,1,0,167
Random_Env2_Seed1,Env2_Complex,Random,1,3,Wall,143,-0.6430,1,0,5000,0,1,0,310
Random_Env2_Seed1,Env2_Complex,Random,1,4,Wall,286,-0.7860,7,7,5000,0,1,0,596
Random_Env2_Seed1,Env2_Complex,Random,1,5,Wall,18,-0.5180,2,6,5000,0,1,0,614
Random_Env2_Seed1,Env2_Complex,Random,1,6,Wall,148,-0.6480,3,5,5000,0,1,0,762
Random_Env2_Seed1,Env2_Complex,Random,1,7,Wall,14,-0.5140,4,2,5000,0,1,0,776
Random_Env2_Seed1,Env2_Complex,Random,1,8,Wall,235,-0.7350,3,7,5000,0,1,0,1011
Random_Env2_Seed1,Env2_Complex,Random,1,9,Wall,83,-0.5830,2,1,5000,0,1,0,1094
Random_Env2_Seed1,Env2_Complex,Random,1,10,Wall,15,-0.5150,7,6,5000,0,1,0,1109
Random_Env2_Seed1,Env2_Complex,Random,1,11,Wall,116,-0.6160,5,5,5000,0,1,0,1225
Random_Env2_Seed1,Env2_Complex,Random,1,12,Wall,247,-0.7470,3,3,5000,0,1,0,1472
Random_Env2_Seed1,Env2_Complex,Random,1,13,Wall,0,-0.5000,0,4,5000,0,1,0,1472
Random_Env2_Seed1,Env2_Complex,Random,1,14,Wall,16,-0.5160,5,2,5000,0,1,0,1488
Random_Env2_Seed1,Env2_Complex,Random,1,15,Wall,24,-0.5240,7,0,5000,0,1,0,1512
Random_Env2_Seed1,Env2_Complex,Random,1,16,Wall,71,-0.5710,2,4,5000,0,1,0,1583
Random_Env2_Seed1,Env2_Complex,Random,1,17,Wall,36,-0.5360,6,6,5000,0,1,0,1619
