run_id,environment,algorithm,seed,episode,result,steps,total_reward,spawn_index,goal_index,max_steps,success,wall_hit,timeout,total_logged_steps
Random_Env1_Seed27,Env1_Simple,Random,27,1,Wall,251,-0.7510,1,0,5000,0,1,0,251
Random_Env1_Seed27,Env1_Simple,Random,27,2,Wall,113,-0.6130,0,3,5000,0,1,0,364
Random_Env1_Seed27,Env1_Simple,Random,27,3,Wall,523,-1.0230,3,2,5000,0,1,0,887
Random_Env1_Seed27,Env1_Simple,Random,27,4,Wall,68,-0.5680,2,3,5000,0,1,0,955
Random_Env1_Seed27,Env1_Simple,Random,27,5,Wall,69,-0.5690,1,1,5000,0,1,0,1024
Random_Env1_Seed27,Env1_Simple,Random,27,6,Wall,336,-0.8360,0,2,5000,0,1,0,1360
Random_Env1_Seed27,Env1_Simple,Random,27,7,Wall,76,-0.5760,3,3,5000,0,1,0,1436
Random_Env1_Seed27,Env1_Simple,Random,27,8,Wall,271,-0.7710,1,1,5000,0,1,0,1707
Random_Env1_Seed27,Env1_Simple,Random,27,9,Wall,51,-0.5510,3,3,5000,0,1,0,1758
Random_Env1_Seed27,Env1_Simple,Random,27,10,Wall,853,-1.3530,2,1,5000,0,1,0,2611
Random_Env1_Seed27,Env1_Simple,Random,27,11,Wall,623,-1.1230,1,2,5000,0,1,0,3234
Random_Env1_Seed27,Env1_Simple,Random,27,12,Wall,345,-0.8450,0,0,5000,0,1,0,3579
Random_Env1_Seed27,Env1_Simple,Random,27,13,Wall,17,-0.5170,3,3,5000,0,1,0,3596
Random_Env1_Seed27,Env1_Simple,Random,27,14,Wall,272,-0.7720,1,2,5000,0,1,0,3868
Random_Env1_Seed27,Env1_Simple,Random,27,15,Wall,264,-0.7640,2,1,5000,0,1,0,4132
Random_Env1_Seed27,Env1_Simple,Random,27,16,Wall,1096,-1.5960,0,2,5000,0,1,0,5228
Random_Env1_Seed27,Env1_Simple,Random,27,17,Wall,487,-0.9870,1,3,5000,0,1,0,5715
Random_Env1_Seed27,Env1_Simple,Random,27,18,Wall,156,-0.6560,3,2,5000,0,1,0,5871
Random_Env1_Seed27,Env1_Simple,Random,27,19,Wall,29,-0.5290,1,1,5000,0,1,0,5900
