run_id,environment,algorithm,seed,episode,result,steps,total_reward,spawn_index,goal_index,max_steps,success,wall_hit,timeout,total_logged_steps
Random_Env1_Seed1,Env1_Simple,Random,1,1,Wall,184,-0.6840,2,2,5000,0,1,0,184
Random_Env1_Seed1,Env1_Simple,Random,1,2,Wall,33,-0.5330,3,3,5000,0,1,0,217
Random_Env1_Seed1,Env1_Simple,Random,1,3,Wall,280,-0.7800,1,1,5000,0,1,0,497
Random_Env1_Seed1,Env1_Simple,Random,1,4,Wall,377,-0.8770,2,3,5000,0,1,0,874
Random_Env1_Seed1,Env1_Simple,Random,1,5,Wall,209,-0.7090,3,1,5000,0,1,0,1083
Random_Env1_Seed1,Env1_Simple,Random,1,6,Wall,1414,-1.9140,2,0,5000,0,1,0,2497
Random_Env1_Seed1,Env1_Simple,Random,1,7,Wall,664,-1.1640,0,3,5000,0,1,0,3161
Random_Env1_Seed1,Env1_Simple,Random,1,8,Wall,50,-0.5500,1,2,5000,0,1,0,3211
Random_Env1_Seed1,Env1_Simple,Random,1,9,Wall,31,-0.5310,3,0,5000,0,1,0,3242
Random_Env1_Seed1,Env1_Simple,Random,1,10,Wall,47,-0.5470,2,3,5000,0,1,0,3289
Random_Env1_Seed1,Env1_Simple,Random,1,11,Wall,1750,-2.2500,3,0,5000,0,1,0,5039
Random_Env1_Seed1,Env1_Simple,Random,1,12,Wall,69,-0.5690,1,3,5000,0,1,0,5108
Random_Env1_Seed1,Env1_Simple,Random,1,13,Wall,1535,-2.0350,0,1,5000,0,1,0,6643
Random_Env1_Seed1,Env1_Simple,Random,1,14,Wall,167,-0.6670,1,0,5000,0,1,0,6810
Random_Env1_Seed1,Env1_Simple,Random,1,15,Wall,170,-0.6700,3,1,5000,0,1,0,6980
Random_Env1_Seed1,Env1_Simple,Random,1,16,Wall,123,-0.6230,1,0,5000,0,1,0,7103
Random_Env1_Seed1,Env1_Simple,Random,1,17,Wall,1452,-1.9520,3,2,5000,0,1,0,8555
Random_Env1_Seed1,Env1_Simple,Random,1,18,Wall,43,-0.5430,2,3,5000,0,1,0,8598
Random_Env1_Seed1,Env1_Simple,Random,1,19,Wall,125,-0.6250,1,0,5000,0,1,0,8723
