run_id,algorithm,environment,seed,timesteps,trained_steps,hyperparameters,started_at,finished_at,duration_seconds,recent_training_mean_reward,model_path,log_dir,recording_dir
PPO_Env1_Seed1,PPO,Env1_Simple,1,500000,,"{'trainer_type': 'ppo', 'batch_size': 128, 'buffer_size': 2048, 'learning_rate': 0.0003, 'beta': 0.005, 'epsilon': 0.2, 'lambd': 0.95, 'num_epoch': 3, 'gamma': 0.995, 'hidden_units': 128, 'num_layers': 2, 'time_horizon': 64, 'max_steps': 500000}",,,,,rl_navigation_project/training/logs/final/PPO_Env1_Seed1/MazeAgent.onnx,rl_navigation_project/training/logs/final/PPO_Env1_Seed1,rl_navigation_project/training/recordings
PPO_Env1_Seed27,PPO,Env1_Simple,27,500000,,"{'trainer_type': 'ppo', 'batch_size': 128, 'buffer_size': 2048, 'learning_rate': 0.0003, 'beta': 0.005, 'epsilon': 0.2, 'lambd': 0.95, 'num_epoch': 3, 'gamma': 0.995, 'hidden_units': 128, 'num_layers': 2, 'time_horizon': 64, 'max_steps': 500000}",,,,,rl_navigation_project/training/logs/final/PPO_Env1_Seed27/MazeAgent.onnx,rl_navigation_project/training/logs/final/PPO_Env1_Seed27,rl_navigation_project/training/recordings
PPO_Env1_Seed42,PPO,Env1_Simple,42,500000,,"{'trainer_type': 'ppo', 'batch_size': 128, 'buffer_size': 2048, 'learning_rate': 0.0003, 'beta': 0.005, 'epsilon': 0.2, 'lambd': 0.95, 'num_epoch': 3, 'gamma': 0.995, 'hidden_units': 128, 'num_layers': 2, 'time_horizon': 64, 'max_steps': 500000}",,,,,rl_navigation_project/training/logs/final/PPO_Env1_Seed42/MazeAgent.onnx,rl_navigation_project/training/logs/final/PPO_Env1_Seed42,rl_navigation_project/training/recordings
PPO_Env1_Seed72,PPO,Env1_Simple,72,500000,,"{'trainer_type': 'ppo', 'batch_size': 128, 'buffer_size': 2048, 'learning_rate': 0.0003, 'beta': 0.005, 'epsilon': 0.2, 'lambd': 0.95, 'num_epoch': 3, 'gamma': 0.995, 'hidden_units': 128, 'num_layers': 2, 'time_horizon': 64, 'max_steps': 500000}",,,,,rl_navigation_project/training/logs/final/PPO_Env1_Seed72/MazeAgent.onnx,rl_navigation_project/training/logs/final/PPO_Env1_Seed72,rl_navigation_project/training/recordings
PPO_Env1_Seed100,PPO,Env1_Simple,100,500000,,"{'trainer_type': 'ppo', 'batch_size': 128, 'buffer_size': 2048, 'learning_rate': 0.0003, 'beta': 0.005, 'epsilon': 0.2, 'lambd': 0.95, 'num_epoch': 3, 'gamma': 0.995, 'hidden_units': 128, 'num_layers': 2, 'time_horizon': 64, 'max_steps': 500000}",,,,,rl_navigation_project/training/logs/final/PPO_Env1_Seed100/MazeAgent.onnx,rl_navigation_project/training/logs/final/PPO_Env1_Seed100,rl_navigation_project/training/recordings
